h,theta,diam_plat,mass,gci,T,F,m_act,m_link,deflection_mm
0.0409375,127.777777777778,0.1142,143.311865135445,-0.730817296063896,0.791816581835359,25.5585159557356,41,6.77062171181516,0.500000000004428
0.0634375,87.7777777777778,0.1082,617.068298341983,-0.845949803776645,4.11539402043519,46.4445565863877,195,10.689432780661,0.499999999998805
0.0184375,47.7777777777778,0.1022,136.097876448811,-0.278348143231928,0.256380261548699,17.7438711243508,41,4.36595881627043,0.500000000000632
0.0915625,114.444444444444,0.0962,617.802086955595,-0.710569977287715,3.75148912329773,20.1436252563565,195,10.9340289851983,0.499999999998853
0.0465625,74.4444444444444,0.12476,344.547875060112,-0.668786334585964,1.47484294824173,26.2388608534249,107,7.84929168670408,0.500000002367302
0.0690625,34.4444444444444,0.11876,358.036118726713,-0.706808173194792,1.83480839309341,44.8602133774549,107,12.3453729089045,0.500000000004483
0.0240625,148.518518518519,0.11276,138.20038281255,-0.50127164013929,0.0306479265788411,18.0545791675141,41,5.06679427085001,0.499999999997006
0.0803125,108.518518518519,0.10676,616.055901667397,-0.890010689959457,4.54168542610221,23.6140901054631,195,10.3519672224657,0.499999999998872
0.0353125,68.5185185185185,0.10076,338.336497989062,-0.614017811547532,1.44793554081667,26.4294434243244,107,5.77883266302054,0.499999999999636
0.0578125,135.185185185185,0.12356,367.569045304135,-0.661281553346122,1.7890764278893,92.8897432912991,107,15.5230151013785,0.499999999999632
0.0128125,95.1851851851852,0.11756,137.53807734209,-0.226491021683067,0.681041123281605,16.9205182359954,41,4.84602578069673,0.500000035180192
0.09859375,55.1851851851852,0.11156,622.830182528195,-0.582491470387871,2.44062157416396,20.0736137271211,195,12.6100608427315,0.500000000042551
0.05359375,121.851851851852,0.10556,669.701153651207,-0.782080984664751,2.97728198967403,464.653803434793,195,28.2337178837355,0.499999999999975
0.07609375,81.8518518518518,0.09956,613.574563668933,-0.838087774695498,3.81120393641846,23.9720739082575,195,9.52485455631105,0.499999999999667
0.03109375,41.8518518518518,0.12236,140.734907532692,-0.507343713066593,0.168843496309425,18.6638863393204,41,5.91163584423058,0.500000003511033
0.08734375,144.074074074074,0.11636,619.928831383408,-0.860796845992862,4.35345127655188,22.7162302714009,195,11.6429437944695,0.500000000008564
0.04234375,104.074074074074,0.11036,342.226092765915,-0.649645350179329,1.42656473246716,30.3539125023314,107,7.07536425530509,0.500000000438928
0.06484375,64.0740740740741,0.10436,613.972474887104,-0.852065818460549,3.27556619909882,36.8063085910892,195,9.65749162903484,0.500000000001479
0.01984375,130.740740740741,0.09836,135.85787543475,-0.310817260812098,0.011949579999925,18.2153483408677,41,4.28595847825004,0.500000000001439
0.09296875,90.7407407407407,0.12116,622.750330819134,-0.789629139838246,3.79328286613923,21.7795091931535,195,12.5834436063782,0.500000000059371
0.04796875,50.7407407407408,0.11516,346.544478320126,-0.729983720402254,2.09011357448936,39.1850374021484,107,8.51482610670851,0.499999999999191
0.07046875,117.407407407407,0.10916,615.351988625571,-0.804384904726779,5.12971851524934,31.3904593690334,195,10.1173295418572,0.500000000000602
0.02546875,77.4074074074074,0.10316,137.366531251736,-0.378328323213404,0.287928292497778,19.1813653173162,41,4.7888437505786,0.500000000916929
0.08171875,37.4074074074074,0.09716,350.634369346749,-0.826450022974021,1.8354642930957,21.8917584654755,107,9.87812311558286,0.499999999999625
0.03671875,139.62962962963,0.11996,141.951649723918,-0.6962478894614,0.297308848527588,20.680278774445,41,6.31721657463931,0.499999999999557
0.05921875,99.6296296296296,0.11396,645.063596481267,-0.828427998319635,3.60807969463155,171.542981391959,195,20.021198827089,0.500000001245697
0.01421875,59.6296296296296,0.10796,136.35471605959,-0.156107343957158,0.649512747583227,17.124356363034,41,4.45157201986327,0.500000000000333
0.09578125,126.296296296296,0.10196,620.237090030816,-0.821389876695689,3.52605750105363,19.9284652778864,195,11.7456966769387,0.500000000000358
0.05078125,86.2962962962963,0.09596,625.871698132818,-0.819106354965741,3.65022163777872,138.671058544731,195,13.6238993776061,0.499999999999618
0.07328125,46.2962962962963,0.12452,623.911340188251,-0.717282762391553,2.40154695755774,40.3908286386009,195,12.9704467294169,0.500000000004832
0.02828125,112.962962962963,0.11852,139.675211946184,-0.393099680779053,0.0357536662889968,18.4106414612203,41,5.55840398206139,0.500000000046861
0.08453125,72.962962962963,0.11252,618.345046943305,-0.903057335709556,3.35826315659489,23.0537421357568,195,11.1150156477683,0.499999999999764
0.03953125,32.962962962963,0.10652,340.56901115453,-0.898131286097087,1.45975395347213,28.6258413106387,107,6.52300371817664,0.500000000004633
0.06203125,147.037037037037,0.10052,612.82828914847,-0.908055394919495,4.51725720320034,38.9434611980006,195,9.27609638282327,0.499999999999368
